TrialNumber,ApplicationNumber,FilingDate,PatentNumber
CBM2014-00042,09703562,2013-12-05,7499872
IPR2016-00623,14034206,2016-02-12,8873500
IPR2016-00644,09486648,2016-02-23,7010572
IPR2017-01346,12046099,2017-05-05,8161344
IPR2017-01429,10685266,2017-05-12,7214506
IPR2017-01511,10984366,2017-05-31,7242028
IPR2017-01519,13531319,2017-06-06,8566843
IPR2017-01520,13531319,2017-06-06,8566843
IPR2017-01521,12182570,2017-06-06,8209705
IPR2017-01502,12182570,2017-06-06,8209705
IPR2017-01504,13531319,2017-06-06,8566843
IPR2017-01522,12182570,2017-06-06,8209705
IPR2017-01503,13531319,2017-06-06,8566843
IPR2017-01747,08433623,2017-07-10,5711849
IPR2017-01746,08866040,2017-07-10,6017221
IPR2017-02053,13415346,2017-09-07,8477197
IPR2017-02052,12637277,2017-09-07,7907172
IPR2017-02057,14578403,2017-09-07,9197806
IPR2017-02083,10740030,2017-09-11,7535890
IPR2017-02095,12617368,2017-09-11,7915015
IPR2017-02085,12398076,2017-09-11,8199747
IPR2017-02084,10740030,2017-09-11,7535890
IPR2017-02096,13071105,2017-09-11,8859206
IPR2017-02082,10740030,2017-09-11,7535890
PGR2017-00052,14929787,2017-09-12,9533779
IPR2017-02067,14224125,2017-09-12,8995433
IPR2017-02081,13546673,2017-09-12,8724622
IPR2017-02132,14597488,2017-09-19,9492559
IPR2017-02131,14597488,2017-09-19,9492559
IPR2017-02124,09002727,2017-09-20,6046089
IPR2017-02136,14597488,2017-09-20,9492559
IPR2017-01989,08925821,2017-09-20,6153933
IPR2017-02138,14597488,2017-09-20,9492559
IPR2017-02123,08925821,2017-09-20,6153933
IPR2017-02146,12590185,2017-09-21,8374511
IPR2017-01869,09776012,2017-09-22,6388330
IPR2017-02158,10102714,2017-09-22,6669991
PGR2017-00053,14540514,2017-09-22,9528262
IPR2017-01868,09207562,2017-09-22,6326231
IPR2017-02135,10070178,2017-09-22,7022100
IPR2017-02134,10070178,2017-09-22,7022100
IPR2017-02165,14228825,2017-09-23,9235462
IPR2017-02166,14228825,2017-09-23,9235462
IPR2017-02173,10188643,2017-09-25,7620327
IPR2017-02074,11135314,2017-09-25,7617873
IPR2017-02073,11135314,2017-09-25,7617873
IPR2017-02072,12575024,2017-09-25,9708867
IPR2017-02070,11305489,2017-09-25,7448448
IPR2017-02071,10604515,2017-09-25,7055604
IPR2017-02176,10590958,2017-09-25,7777098
IPR2017-01873,09567013,2017-09-27,6380588
IPR2017-02191,10882588,2017-09-27,8266699
