User,Artist,Album,Song,ListenDate
Thepekingduck,Kavinsky,Nightcall,Nightcall - Dustin N'Guyen Remix,12/31/2013 13:51
Thepekingduck,Nero,Welcome Reality,Me And You,12/31/2013 13:43
Thepekingduck,Adele,Set Fire To The Rain (Remixes),Set Fire to the Rain (Thomas Gold remix),12/31/2013 13:38
Thepekingduck,Felix Cartal and Clockwork,Black To White,Black To White,12/31/2013 13:33
Thepekingduck,White Town,Playlist: Dance,Your Woman,12/31/2013 11:35
Thepekingduck,Pete Murray,See The Sun,Opportunity,12/31/2013 11:15
Thepekingduck,Pete Murray,See The Sun,Opportunity,12/31/2013 0:23
Thepekingduck,Pete Murray,Blue Sky Blue,Free,12/31/2013 0:04
Thepekingduck,Pete Murray,Feeler/See The Sun,So Beautiful - Single Version,12/30/2013 23:59
Thepekingduck,Pete Murray,See The Sun,Smile,12/30/2013 23:53
Thepekingduck,Pete Murray,See The Sun,Fly With You,12/30/2013 23:49
Thepekingduck,Pete Murray,See The Sun,Class A,12/30/2013 23:45
Thepekingduck,Pete Murray,See The Sun,Opportunity,12/30/2013 23:41
Thepekingduck,Opgeduveld,Opgeduveld,Dikke rapper,12/30/2013 16:03
Thepekingduck,Opgezwolle,Eigen Wereld,HoedenPlank,12/30/2013 16:00
Thepekingduck,Opgezwolle,Vloeistof,Tjappies en mammies,12/30/2013 15:57
Thepekingduck,Opgezwolle,Vloeistof,Verre Oosten,12/30/2013 15:52
Thepekingduck,Opgezwolle,Eigen Wereld,Eigen Wereld,12/30/2013 15:47
Thepekingduck,Dinka feat. Hadley & Danny Inzerillo,Reach for Me,Reach for Me - Dimitri Vangelis & Wyman Dub,12/29/2013 17:54
Thepekingduck,Ken Loi,All It Takes (feat. Zashanell),All It Takes (Original Mix) (feat. Zashanell),12/29/2013 17:48
Thepekingduck,Felix Cartal and Clockwork,Black To White,Black To White,12/29/2013 17:43
Thepekingduck,Maja Ivarsson,Tonight (feat. Maja Ivarsson),Tonight (feat. Maja Ivarsson),12/29/2013 17:39
Thepekingduck,Madeon,Icarus,Icarus,12/29/2013 17:36
Thepekingduck,DJ Fresh,Earthquake,Earthquake - WestFunk & Steve Smart Club Mix,12/29/2013 17:31
Thepekingduck,Professor Green,Just Be Good To Green,Just Be Good To Green - Feat. Lily Allen,12/29/2013 17:28
Thepekingduck,Kelly Rowland,One More Love,Commander (feat. David Guetta) - Radio Edit,12/29/2013 16:42
Thepekingduck,David Guetta - will.i.am - apl.de.ap,One More Love,On The Dancefloor - feat. will.i.am & apl.de.ap,12/29/2013 16:38
Thepekingduck,Black Eyed Peas,One More Love,I Gotta Feeling (FMIF Remix) [Edit],12/29/2013 16:35
Thepekingduck,David Guetta - Stereo Mc'S - Joachim Garraud,Guetta Blaster,Open Your Eyes,12/29/2013 16:30
Thepekingduck,David Guetta,Play Hard (feat. Ne-Yo & Akon) [New Edit],Play Hard (feat. Ne-Yo & Akon) [New Edit],12/29/2013 16:27
Thepekingduck,Nicky Romero,Spinnin' Records Dance Top 50 2013,Like Home - Radio Edit,12/29/2013 16:23
Thepekingduck,Cash Cash,Take Me Home,Take Me Home (feat. Bebe Rexha),12/29/2013 16:19
Thepekingduck,Digitalism,I Love You Dude,Circles,12/29/2013 16:15
Thepekingduck,Kavinsky,Nightcall,Nightcall - Dustin N'Guyen Remix,12/29/2013 16:11
Thepekingduck,Sef,De Leven,De Leven - Radio Edit,12/28/2013 19:05
Thepekingduck,Kempi ft. Lucky Fonz III & De Felle Kleuren,Diana,Diana,12/28/2013 19:03
Thepekingduck,Opgezwolle,Vloeistof,Rustug,12/28/2013 18:55
Thepekingduck,Fakkelbrigade,Colucci Era,Groen Gras,12/28/2013 18:47
Thepekingduck,Flinke Namen,Superstuntwerk,Flexican Beat,12/28/2013 18:41
Thepekingduck,Flinke Namen,Als Zij Langsloopt,Als Zij Langsloopt,12/28/2013 18:38
Thepekingduck,Flinke Namen,Wolken,Wolken,12/28/2013 18:34
Thepekingduck,Sticks,Fakkelteit,Slangeleer,12/28/2013 18:32
Thepekingduck,Digitalism,I Love You Dude,Stratosphere,12/28/2013 17:24
Thepekingduck,Ratatat,Classics,Nostrand,12/28/2013 17:21
Thepekingduck,Justice,Cross,Valentine,12/28/2013 17:18
Thepekingduck,Chromatics,Tick of the Clock,Tick of the Clock - Single,12/28/2013 17:14
Thepekingduck,Digitalism,I Love You Dude,Circles,12/28/2013 17:07
Thepekingduck,Kavinsky,OutRun,Roadgame,12/28/2013 17:03
Thepekingduck,Kavinsky,Nightcall,Nightcall - Dustin N'Guyen Remix,12/28/2013 16:59
Thepekingduck,Kavinsky,Nightcall,Nightcall - Dustin N'Guyen Remix,12/28/2013 16:08
Thepekingduck,Tantrum Desire,Get With It,Reach VIP,12/28/2013 16:03
Thepekingduck,Camo & Krooked,Climax,Climax,12/28/2013 15:58
Thepekingduck,Michael Badal,Jigsaw Puzzles,Dr. Funkenstein - Dj Zya Remix,12/28/2013 15:54
Thepekingduck,Klingande,Jubel,Jubel (Radio Edit),12/28/2013 15:50
Thepekingduck,Afrojack,The Spark,The Spark,12/28/2013 15:45
Thepekingduck,Bastille,Of The Night,Of the Night,12/28/2013 15:42
Thepekingduck,Avicii,TRUE,You Make Me,12/28/2013 15:39
Thepekingduck,OneRepublic,Native,Counting Stars,12/28/2013 15:34
Thepekingduck,Datsik & Kill the Noise,Lightspeed,Lightspeed,12/28/2013 15:30
Thepekingduck,Nause,Made Of,Made Of - Original Mix,12/28/2013 15:25
Thepekingduck,Dr. Dre,Keep Their Heads Ringin',Keep Their Heads Ringin' - LP Version;,12/24/2013 15:19
Thepekingduck,JAY-Z,Original Album Classics,Feelin' It,12/24/2013 15:15
Thepekingduck,Kurupt,Kuruption,C-Walk,12/24/2013 15:10
Thepekingduck,The Cool Kids,The Bake Sale,Black Mags,12/24/2013 15:06
Thepekingduck,Opgezwolle,Eigen Wereld,Volle Kracht,12/24/2013 13:47
Thepekingduck,Opgezwolle,Vloeistof,Rustug,12/24/2013 13:40
Thepekingduck,Opgezwolle,Eigen Wereld,Balans,12/24/2013 13:37
Thepekingduck,Opgezwolle,Eigen Wereld,Eigen Wereld,12/24/2013 13:32
Thepekingduck,Opgezwolle,Eigen Wereld,Regendans,12/24/2013 13:29
Thepekingduck,The Cool Kids,The Bake Sale,Black Mags,12/24/2013 13:24
Thepekingduck,Nas,It Was Written,The Message,12/24/2013 13:19
Thepekingduck,The Cool Kids,The Bake Sale,Black Mags,12/24/2013 13:16
Thepekingduck,Big L,The Big Picture,The Enemy,12/24/2013 13:13
Thepekingduck,Jamai,Wake Me Up,Wake Me Up - Uit: Beter Dan Het Origineel,12/24/2013 13:03
Thepekingduck,Racoon,Shoes Of Lightning,Shoes Of Lightning,12/24/2013 13:01
Thepekingduck,The Soul Session,One,Root Down feat. Kay Fischer,12/24/2013 12:48
Thepekingduck,Dire Straits,The Best of Dire Straits & Mark Knopfler - Private Investigations,Brothers in Arms,12/24/2013 12:40
Thepekingduck,The Rolling Stones,Singles Collection: The London Years,Paint It Black - Mono Version,12/24/2013 12:37
Thepekingduck,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,Bullet With Butterfly Wings,12/24/2013 12:31
Thepekingduck,Creedence Clearwater Revival,More Creedence Gold,Fortunate Son,12/24/2013 12:28
Thepekingduck,Mark Knopfler,Sailing to Philadelphia,Speedway At Nazareth,12/24/2013 12:19
Thepekingduck,Cake,Comfort Eagle,Comfort Eagle,12/24/2013 12:16
Thepekingduck,Lee Ritenour,6 String Theory,Give Me One Reason,12/24/2013 12:10
Thepekingduck,Oli Brown,Here I Am,Devil In Me,12/24/2013 12:06
